1,-5.1 * -26,132.6
2,(14 - 2) - 27,-15
3,(-16 + -45) * 44,-2684
4,(2.9 * -7.9) * -5.1,116.841
5,-0.9 * 17,-15.3
6,-5.8 / (-16 * -9),-0.0402777778
7,-12 / 30,-0.4
8,1 + (-45 * -24),1081
9,(44 * -6.9) - 22,-325.6
10,-24 * (-9.4 + 3.7),136.8
11,25 * (-47 + -24),-1775
12,(-8.5 / 4.9) / 3,-0.5782312925
13,(-0.9 - -4.4) + -6,-2.5
14,-5.3 * 21,-111.3
15,44 + -7,37
16,-34 / -6.6,5.1515151515
17,(5.1 + -44) / 27,-1.4407407407
18,-48 - (-8.8 + 0.7),-39.9
19,16 / -18,-0.8888888889
20,-6 + (-29 * -45),1299
21,-0.8 - -2,1.2
22,-9.4 - -5,-4.4
23,6.5 * -26,-169
24,42 - 40,2
25,5.2 * -47,-244.4
26,5.4 - (31 - 4.7),-20.9
27,(1.9 / 8) + -6.3,-6.0625
28,2.7 * (38 + 21),159.3
29,19 - 1.8,17.2
30,-29 - 0.2,-29.2
31,(-8 * 32) * -2.4,614.4
32,7.8 / (4.9 + -4),8.6666666667
33,38 + -41,-3
34,(2.2 - 3.9) / -0.7,2.4285714286
35,(-47 + 32) + 9.6,-5.4
36,-2.3 / (25 - 8),-0.1352941176
37,36 * (30 * -13),-14040
38,(45 + -9) / 29,1.2413793103
39,-16 - -2.5,-13.5
40,25 + (-27 * -20),565
41,6 + (17 + -29),-6
42,39 + -2,37
43,(-7.7 * -38) + -5,287.6
44,-16 + (7 + 3.3),-5.7
45,-21 + (-27 / -10),-18.3
46,(-34 - 21) * 19,-1045
47,41 + -26,15
48,17 - (24 / 6.2),13.1290322581
49,28 + (-12 + 0.6),16.6
50,(1.2 - -3.8) * 0.7,3.5
51,4.5 - (33 / 21),2.9285714286
52,-41 / -41,1
53,-22 + (-0.6 * 29),-39.4
54,(-4 - 34) / -6.8,5.5882352941
55,5.2 / (45 / 40),4.6222222222
56,5.9 / (-39 + 1.2),-0.1560846561
57,-45 * 26,-1170
58,5 - 42,-37
59,-35 + (-5.2 + 24),-16.2
60,(-20 - -6) * -22,308
61,1 * -8,-8
62,49 * 2.2,107.8
63,27 + (-16 * 35),-533
64,(17 - 7.7) * -19,-176.7
